,premise,hypothesis,extracted_idiom,base_form,idiom_pos,identity_cql,passive_cql,adj_insertion_cql_1,adj_insertion_cql_2,adv_insertion_cql,adv_insertion_cql_adj,nominalization_cql,infinigram_index,infinigram_query,infinigram_count,infinigram_approx,infinigram_latency,infinigram_token_ids,infinigram_tokens,infinigram_error,infinigram_total_tokens,infinigram_per_billion_tokens
411,"And there , on the carpet , the worst thing of all happened to Sally - Anne Tunstall , and there was nothing she could do about it , nothing .","And there , in the position of being reprimanded , the worst thing of all happened to Sally - Anne Tunstall , and there was nothing she could do about it , nothing .",on the carpet,on the carpet,"[on, the, carpet]","q[lemma=""on""][lemma=""the""][lemma=""carpet""]",,"q[lemma=""on""][lemma=""the""][tag=""J.*""][lemma=""carpet""]",,"q[tag=""RB.?""][lemma=""on""][lemma=""the""][lemma=""carpet""]",,,v4_olmo-mix-1124_llama,on the carpet,2083358,False,807.1861267089844,"[373,278,1559,10963]","[""▁on"",""▁the"",""▁car"",""pet""]",,4575475702047,455.33145309195646
412,"Marche is for the traveller who wants to turn off the tourist trail , to give the show places a miss , and get to know the green heartland of Italy , the not so self - conscious Italy .","Marche is for the traveller who wants to turn off the tourist trail , not visit the show places , and get to know the green heartland of Italy , the not so self - conscious Italy .",give the show places a miss,give something a miss,"[give, something, a, miss]","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""a""][lemma=""miss""]","q[lemma=""a""][lemma=""miss""][lemma=""be""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""a""][tag=""J.*""][lemma=""miss""]",,"q[tag=""RB.?""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""a""][lemma=""miss""]",,"q[lemma=""give"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""a""][lemma=""miss""]",v4_olmo-mix-1124_llama,give something a miss,571,False,512.2253894805908,"[2367,1554,263,3052]","[""▁give"",""▁something"",""▁a"",""▁miss""]",,4575475702047,0.12479576708156116
413,I 've been too close up against it .,I 've been too close to it .,close up against,close up against,"[close, up, against]","q[lemma=""close""][lemma=""up""][lemma=""against""]",,,,"q[tag=""RB.?""][lemma=""close""][lemma=""up""][lemma=""against""]",,,v4_olmo-mix-1124_llama,close up against,15136,False,674.7250556945801,"[3802,701,2750]","[""▁close"",""▁up"",""▁against""]",,4575475702047,3.3080713319553587
414,I mean she 'll be out two days on the trot .,I mean she 'll be out two days in a row .,on the trot,on the trot,"[on, the, trot]","q[lemma=""on""][lemma=""the""][lemma=""trot""]",,"q[lemma=""on""][lemma=""the""][tag=""J.*""][lemma=""trot""]",,"q[tag=""RB.?""][lemma=""on""][lemma=""the""][lemma=""trot""]",,,v4_olmo-mix-1124_llama,on the trot,117102,False,690.0017261505127,"[373,278,3147,29873]","[""▁on"",""▁the"",""▁tro"",""t""]",,4575475702047,25.59340440767947
415,Dido does n't claim to have got to the bottom of what she calls the Canine Predicament .,Dido does n't claim to have found the explanation of what she calls the Canine Predicament .,got to the bottom,get to the bottom,"[get, to, the, bottom]","q[lemma=""get""][lemma=""to""][lemma=""the""][lemma=""bottom""]",,"q[lemma=""get""][lemma=""to""][lemma=""the""][tag=""J.*""][lemma=""bottom""]",,"q[tag=""RB.?""][lemma=""get""][lemma=""to""][lemma=""the""][lemma=""bottom""]",,"q[lemma=""get"" & tag=""N.*""][lemma=""to""][lemma=""of""][lemma=""the""][lemma=""bottom""]",v4_olmo-mix-1124_llama,get to the bottom,3104008,False,785.7725620269775,"[679,304,278,5970]","[""▁get"",""▁to"",""▁the"",""▁bottom""]",,4575475702047,678.4011547938749
416,"It is you , having shut the door on your fears which have hitherto ruled your life , who can open a new door .","It is you , having closed the opportunity for your fears which have hitherto ruled your life , who can open a new door .",shut the door on,shut the door on,"[shut, the, door, on]","q[lemma=""shut""][lemma=""the""][lemma=""door""][lemma=""on""]","q[lemma=""the""][lemma=""door""][lemma=""be""][lemma=""shut""][lemma=""on""]","q[lemma=""shut""][lemma=""the""][tag=""J.*""][lemma=""door""][lemma=""on""]",,"q[tag=""RB.?""][lemma=""shut""][lemma=""the""][lemma=""door""][lemma=""on""]",,"q[lemma=""shut"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""door""][lemma=""on""]",v4_olmo-mix-1124_llama,shut the door on,209576,False,700.6614208221436,"[12522,278,3050,373]","[""▁shut"",""▁the"",""▁door"",""▁on""]",,4575475702047,45.804199092618674
417,Why is it inefficient for different government departments to have different rules of thumb about the marginal value of human life ?,Why is it inefficient for different government departments to have different principles about the marginal value of human life ?,rules of thumb,rule of thumb,"[rule, of, thumb]","q[lemma=""rule""][lemma=""of""][lemma=""thumb""]",,"q[tag=""J.*""][lemma=""rule""][lemma=""of""][lemma=""thumb""]","q[lemma=""rule""][lemma=""of""][tag=""J.*""][lemma=""thumb""]","q[tag=""RB.?""][lemma=""rule""][lemma=""of""][lemma=""thumb""]",,,v4_olmo-mix-1124_llama,rule of thumb,9734717,False,0.8566379547119141,"[5751,310,28968]","[""▁rule"",""▁of"",""▁thumb""]",,4575475702047,2127.5857711679755
418,"His uncle , Mr Bill Eden , was a postman at Northallerton when the young Reg followed in his footsteps .","His uncle , Mr Bill Eden , was a postman at Northallerton when the young Reg followed him and did the same job .",followed in his footsteps,follow in someone's footsteps,"[follow, in, someone, 's, footstep]","q[lemma=""follow""][lemma=""in""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""footstep""]",,"q[lemma=""follow""][lemma=""in""][tag=""PP.?|N.*|DT|RP""]{1,2}[tag=""J.*""][lemma=""footstep""]",,"q[tag=""RB.?""][lemma=""follow""][lemma=""in""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""footstep""]",,"q[lemma=""follow"" & tag=""N.*""][lemma=""in""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""footstep""]",v4_olmo-mix-1124_llama,follow in someone's footsteps,1101,False,587.4640941619873,"[1101,297,4856,29915,29879,3661,24530]","[""▁follow"",""▁in"",""▁someone"",""'"",""s"",""▁foot"",""steps""]",,4575475702047,0.24063071726234478
419,In religion as in so much else the daily life of the South Saxons was conducted over several centuries by word of mouth and the group memory rather than by letter and record .,In religion as in so much else the daily life of the South Saxons was conducted over several centuries by oral communication and the group memory rather than by letter and record .,word of mouth,word of mouth,"[word, of, mouth]","q[lemma=""word""][lemma=""of""][lemma=""mouth""]",,"q[tag=""J.*""][lemma=""word""][lemma=""of""][lemma=""mouth""]","q[lemma=""word""][lemma=""of""][tag=""J.*""][lemma=""mouth""]","q[tag=""RB.?""][lemma=""word""][lemma=""of""][lemma=""mouth""]",,,v4_olmo-mix-1124_llama,word of mouth,4473000,False,747.0309734344482,"[1734,310,13394]","[""▁word"",""▁of"",""▁mouth""]",,4575475702047,977.6032682238583
420,it 's a little disappointing because we had been lying in second place and that would have stood us in good stead for the rest of the competition,it 's a little disappointing because we had been lying in second place and that would have been advantageous for us for the rest of the competition,stood us in good stead,stand someone in good stead,"[stand, someone, in, good, stead]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]","q[tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""][lemma=""be""][lemma=""stand""]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][tag=""J.*""][lemma=""stead""]",,"q[tag=""RB.?""][lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]","q[lemma=""stand""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][tag=""RB.?""][lemma=""good""][lemma=""stead""]","q[lemma=""stand"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""in""][lemma=""good""][lemma=""stead""]",v4_olmo-mix-1124_llama,stand someone in good stead,387,False,69.05674934387207,"[2317,4856,297,1781,28325]","[""▁stand"",""▁someone"",""▁in"",""▁good"",""▁stead""]",,4575475702047,0.08458136928294951
421,‘ The decision to do so was one of the hardest I have ever made : but now that I am committed ( by dint of posting the letter before I had time to change my mind ) I began to be afraid of opposite extremes — afraid that I am merely indulging in an orgy of egoism.’,‘ The decision to do so was one of the hardest I have ever made : but now that I am committed ( by means of posting the letter before I had time to change my mind ) I began to be afraid of opposite extremes — afraid that I am merely indulging in an orgy of egoism.’,by dint of,by dint of,"[by, dint, of]","q[lemma=""by""][lemma=""dint""][lemma=""of""]",,"q[lemma=""by""][tag=""J.*""][lemma=""dint""][lemma=""of""]",,"q[tag=""RB.?""][lemma=""by""][lemma=""dint""][lemma=""of""]",,,v4_olmo-mix-1124_llama,by dint of,778774,False,723.8154411315918,"[491,270,524,310]","[""▁by"",""▁d"",""int"",""▁of""]",,4575475702047,170.20612734356519
422,To make sure the G M B is at the head of the field we must have a reasonable Health and Safety Officer who would ensure that our safety reps and full - time officers are kept up to speed with all the changes in legislation and to provide the adequate training .,To make sure the G M B is at the head of the field we must have a reasonable Health and Safety Officer who would ensure that our safety reps and full - time officers are kept up to date with all the changes in legislation and to provide the adequate training .,up to speed,up to speed,"[up, to, speed]","q[lemma=""up""][lemma=""to""][lemma=""speed""]",,,,"q[tag=""RB.?""][lemma=""up""][lemma=""to""][lemma=""speed""]",,,v4_olmo-mix-1124_llama,up to speed,4742054,False,770.1828479766846,"[701,304,6210]","[""▁up"",""▁to"",""▁speed""]",,4575475702047,1036.406771404878
423,"I 'm gonna be true blue baby , I love you .","I 'm gonna be extremely loyal baby , I love you .",true blue,true blue,"[true, blue]","q[lemma=""true""][lemma=""blue""]",,,,"q[tag=""RB.?""][lemma=""true""][lemma=""blue""]","q[lemma=""true""][tag=""RB.?""][lemma=""blue""]",,v4_olmo-mix-1124_llama,true blue,397851,False,792.7327156066895,"[1565,7254]","[""▁true"",""▁blue""]",,4575475702047,86.95292597051873
424,"When I decide to call it a day , they 'll stop too.’","When I decide to end it for now , they 'll stop too.’",call it a day,call it a day,"[call, it, a, day]","q[lemma=""call""][lemma=""it""][lemma=""a""][lemma=""day""]","q[lemma=""it""][lemma=""be""][lemma=""call""][lemma=""a""][lemma=""day""]","q[lemma=""call""][lemma=""it""][lemma=""a""][tag=""J.*""][lemma=""day""]",,"q[tag=""RB.?""][lemma=""call""][lemma=""it""][lemma=""a""][lemma=""day""]",,"q[lemma=""call"" & tag=""N.*""][lemma=""of""][lemma=""it""][lemma=""a""][lemma=""day""]",v4_olmo-mix-1124_llama,call it a day,1528299,False,715.7742977142334,"[1246,372,263,2462]","[""▁call"",""▁it"",""▁a"",""▁day""]",,4575475702047,334.01969533271955
425,"Over her supine body Andrew and Horatia 's eyes met and she took the initiative , knowing she had to get the better of the marquis straight away .","Over her supine body Andrew and Horatia 's eyes met and she took the initiative , knowing she had to secure an advantage over the marquis straight away .",get the better of,get the better of someone,"[get, the, well, of, someone]","q[lemma=""get""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}","q[lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""be""][lemma=""get""]","q[lemma=""get""][lemma=""the""][tag=""J.*""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[tag=""RB.?""][lemma=""get""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[lemma=""get"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",v4_olmo-mix-1124_llama,get the better of someone,2089,False,48.68435859680176,"[679,278,2253,310,4856]","[""▁get"",""▁the"",""▁better"",""▁of"",""▁someone""]",,4575475702047,0.45656454892010734
426,"CAMBRIDGE – With economic growth slowing significantly in many major middle - income countries and asset prices falling sharply across the board , is the inevitable “ echo crisis ” in emerging markets already upon us ?","CAMBRIDGE – With economic growth slowing significantly in many major middle - income countries and asset prices falling sharply overall, is the inevitable “ echo crisis ” in emerging markets already upon us ?",across the board,across the board,"[across, the, board]","q[lemma=""across""][lemma=""the""][lemma=""board""]",,"q[lemma=""across""][lemma=""the""][tag=""J.*""][lemma=""board""]",,"q[tag=""RB.?""][lemma=""across""][lemma=""the""][lemma=""board""]",,,v4_olmo-mix-1124_llama,across the board,9034325,False,769.2041397094727,"[4822,278,7613]","[""▁across"",""▁the"",""▁board""]",,4575475702047,1974.5105401735989
427,"After avoiding a swarm of awaiting reporters and photographers, former CIA director David Petraeus testified behind closed doors Friday that he believes the Sept. 11 attacks on a U.S. diplomatic outpost in Benghazi, Libya was an act of terrorism that did not arise out of a spontaneous demonstration, according to a lawmaker who heard the testimony.","After avoiding a swarm of awaiting reporters and photographers, former CIA director David Petraeus testified secretly Friday that he believes the Sept. 11 attacks on a U.S. diplomatic outpost in Benghazi, Libya was an act of terrorism that did not arise out of a spontaneous demonstration, according to a lawmaker who heard the testimony.",behind closed doors,behind closed doors,"[behind, closed, door]","q[lemma=""behind""][lemma=""closed""][lemma=""door""]",,"q[lemma=""behind""][lemma=""closed""][tag=""J.*""][lemma=""door""]",,"q[tag=""RB.?""][lemma=""behind""][lemma=""closed""][lemma=""door""]","q[lemma=""behind""][tag=""RB.?""][lemma=""closed""][lemma=""door""]",,v4_olmo-mix-1124_llama,behind closed doors,3718556,False,846.8997478485107,"[5742,5764,24189]","[""▁behind"",""▁closed"",""▁doors""]",,4575475702047,812.7146207631205
428,‘ You like your orders cut and dried .,‘ You like your orders prepared and settled in advance .,cut and dried,cut and dried,"[cut, and, dry]","q[lemma=""cut""][lemma=""and""][lemma=""dry""]",,,,"q[tag=""RB.?""][lemma=""cut""][lemma=""and""][lemma=""dry""]","q[lemma=""cut""][lemma=""and""][tag=""RB.?""][lemma=""dry""]","q[lemma=""cut"" & tag=""N.*""][lemma=""of""][lemma=""and""][lemma=""dry""]",v4_olmo-mix-1124_llama,cut and dried,482678,False,726.607084274292,"[5700,322,270,1255]","[""▁cut"",""▁and"",""▁d"",""ried""]",,4575475702047,105.49241902520804
429,Oxfam is trying to help these families escape from their hand to mouth existence .,Oxfam is trying to help these families escape from their solve-the-immediate-need existence .,hand to mouth,hand to mouth,"[hand, to, mouth]","q[lemma=""hand""][lemma=""to""][lemma=""mouth""]",,"q[tag=""J.*""][lemma=""hand""][lemma=""to""][lemma=""mouth""]","q[lemma=""hand""][lemma=""to""][tag=""J.*""][lemma=""mouth""]","q[tag=""RB.?""][lemma=""hand""][lemma=""to""][lemma=""mouth""]",,,v4_olmo-mix-1124_llama,hand to mouth,344106,False,640.9323215484619,"[1361,304,13394]","[""▁hand"",""▁to"",""▁mouth""]",,4575475702047,75.20660635265796
430,"She wondered , as she washed the dishes and Memet lay on the sofa with his feet on the cushions , whether some ancient warlock had ever discovered a truth drug while digging around among his herbs in the dark of the moon or even whether there was not some artificial chemical compound which would produce the same result and cause her lover to come clean about his dealings with women .","She wondered , as she washed the dishes and Memet lay on the sofa with his feet on the cushions , whether some ancient warlock had ever discovered a truth drug while digging around among his herbs in the dark of the moon or even whether there was not some artificial chemical compound which would produce the same result and cause her lover to be completely honest about his dealings with women .",come clean,come clean,"[come, clean]","q[lemma=""come""][lemma=""clean""]",,,,"q[tag=""RB.?""][lemma=""come""][lemma=""clean""]","q[lemma=""come""][tag=""RB.?""][lemma=""clean""]","q[lemma=""come"" & tag=""N.*""][lemma=""of""][lemma=""clean""]",v4_olmo-mix-1124_llama,come clean,1825842,False,765.2819156646729,"[2041,5941]","[""▁come"",""▁clean""]",,4575475702047,399.0496549207212
431,"It 'll get to be second nature , do n't worry .","It 'll get to be an instinct , do n't worry .",second nature,second nature,"[second, nature]","q[lemma=""second""][lemma=""nature""]",,"q[lemma=""second""][tag=""J.*""][lemma=""nature""]",,"q[tag=""RB.?""][lemma=""second""][lemma=""nature""]",,,v4_olmo-mix-1124_llama,second nature,2915083,False,835.2305889129639,"[1473,5469]","[""▁second"",""▁nature""]",,4575475702047,637.1103661846211
432,"During the first thirty - six years of the century the pope had taxed the English church to the tune of almost £ 450,000 , of which some £ 360,000 was earmarked for the king , a sum more than three times the amount produced in that time by direct royal taxation of the clergy .","During the first thirty - six years of the century the pope had taxed the English church to the amount of almost £ 450,000 , of which some £ 360,000 was earmarked for the king , a sum more than three times the amount produced in that time by direct royal taxation of the clergy .",to the tune of,to the tune of,"[to, the, tune, of]","q[lemma=""to""][lemma=""the""][lemma=""tune""][lemma=""of""]",,"q[lemma=""to""][lemma=""the""][tag=""J.*""][lemma=""tune""][lemma=""of""]",,"q[tag=""RB.?""][lemma=""to""][lemma=""the""][lemma=""tune""][lemma=""of""]",,,v4_olmo-mix-1124_llama,to the tune of,4198254,False,26.414155960083008,"[304,278,260,1540,310]","[""▁to"",""▁the"",""▁t"",""une"",""▁of""]",,4575475702047,917.5557413891988
433,"Perhaps , in the primordial soup , left and right handedness were in free competition until some small chance advantage became overwhelming through the evolutionary progress .","Perhaps , in the mixture of organic molecules, left and right handedness were in free competition until some small chance advantage became overwhelming through the evolutionary progress .",primordial soup,primordial soup,"[primordial, soup]","q[lemma=""primordial""][lemma=""soup""]",,"q[lemma=""primordial""][tag=""J.*""][lemma=""soup""]",,"q[tag=""RB.?""][lemma=""primordial""][lemma=""soup""]",,,v4_olmo-mix-1124_llama,primordial soup,273197,False,700.3002166748047,"[1903,536,616,22300]","[""▁prim"",""ord"",""ial"",""▁soup""]",,4575475702047,59.70898280101798
434,"Major reform of the welfare system was one of Carter 's most important objectives , but that too fell by the wayside .","Major reform of the welfare system was one of Carter 's most important objectives , but that too failed to persist .",fell by the wayside,fall by the wayside,"[fall, by, the, wayside]","q[lemma=""fall""][lemma=""by""][lemma=""the""][lemma=""wayside""]",,"q[lemma=""fall""][lemma=""by""][lemma=""the""][tag=""J.*""][lemma=""wayside""]",,"q[tag=""RB.?""][lemma=""fall""][lemma=""by""][lemma=""the""][lemma=""wayside""]",,"q[lemma=""fall"" & tag=""N.*""][lemma=""by""][lemma=""of""][lemma=""the""][lemma=""wayside""]",v4_olmo-mix-1124_llama,fall by the wayside,691759,False,627.3174285888672,"[6416,491,278,982,2975]","[""▁fall"",""▁by"",""▁the"",""▁way"",""side""]",,4575475702047,151.18843264548804
435,"Some of Mr Mellor 's favourite orchestras will probably be among companies handed over , albeit kicking and screaming .","Some of Mr Mellor 's favourite orchestras will probably be among companies handed over , albeit reluctantly .",kicking and screaming,kicking and screaming,"[kick, and, scream]","q[lemma=""kick""][lemma=""and""][lemma=""scream""]",,,,"q[tag=""RB.?""][lemma=""kick""][lemma=""and""][lemma=""scream""]",,"q[lemma=""kick"" & tag=""N.*""][lemma=""of""][lemma=""and""][lemma=""scream""]",v4_olmo-mix-1124_llama,kicking and screaming,1147840,False,804.7046661376953,"[24817,292,322,885,1633,292]","[""▁kick"",""ing"",""▁and"",""▁sc"",""ream"",""ing""]",,4575475702047,250.86790418020874
436," Open it , Margaret , ' cried my mother , and as I made no move she herself ripped off its coverings ."," Open it , Margaret , ' cried my mother , and as I did nothing she herself ripped off its coverings .",made no move,make a move,"[make, a, move]","q[lemma=""make""][lemma=""a""][lemma=""move""]","q[lemma=""a""][lemma=""move""][lemma=""be""][lemma=""make""]","q[lemma=""make""][lemma=""a""][tag=""J.*""][lemma=""move""]",,"q[tag=""RB.?""][lemma=""make""][lemma=""a""][lemma=""move""]",,"q[lemma=""make"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""move""]",v4_olmo-mix-1124_llama,make a move,2157966,False,838.1145000457764,"[1207,263,4337]","[""▁make"",""▁a"",""▁move""]",,4575475702047,471.63751717325437
437,Mandy 's lawyer Joe Wood said last night : ‘ Papers are presently being looked at with a view to proceedings being taken.’,Mandy 's lawyer Joe Wood said last night : ‘ Papers are presently being looked at with the goal of proceedings being taken.’,with a view to,with a view to,"[with, a, view, to]","q[lemma=""with""][lemma=""a""][lemma=""view""][lemma=""to""]",,"q[lemma=""with""][lemma=""a""][tag=""J.*""][lemma=""view""][lemma=""to""]",,"q[tag=""RB.?""][lemma=""with""][lemma=""a""][lemma=""view""][lemma=""to""]",,,v4_olmo-mix-1124_llama,with a view to,3018526,False,732.6557636260986,"[411,263,1776,304]","[""▁with"",""▁a"",""▁view"",""▁to""]",,4575475702047,659.7185072252828
438,"The most obvious sort of ‘ group’ will be a local congregation ( remember the urgent need to move back into the churches and be owned by them where we are not ) but it could be a Youth Group , a VIth form , a sports team , a WDM Group , an organisation or club — all manner of groups come to mind .","The most obvious sort of ‘ group’ will be a local congregation ( remember the urgent need to move back into the churches and be owned by them where we are not ) but it could be a Youth Group , a VIth form , a sports team , a WDM Group , an organisation or club — all manner of groups occur to me .",come to mind,come to mind,"[come, to, mind]","q[lemma=""come""][lemma=""to""][lemma=""mind""]",,,,"q[tag=""RB.?""][lemma=""come""][lemma=""to""][lemma=""mind""]",,"q[lemma=""come"" & tag=""N.*""][lemma=""of""][lemma=""to""][lemma=""mind""]",v4_olmo-mix-1124_llama,come to mind,7363211,False,824.3997097015381,"[2041,304,3458]","[""▁come"",""▁to"",""▁mind""]",,4575475702047,1609.2776968973542
439,"The power of the platform 's weapons and the threat they posed was enough to give anyone pause for thought , but now they appeared somehow more lethal because they were unseen — concealed behind gunports which had been engineered to such fine tolerances that Rostov could detect no hint of them anywhere on the curved metal skin .","The power of the platform 's weapons and the threat they posed was enough to make anyone think , but now they appeared somehow more lethal because they were unseen — concealed behind gunports which had been engineered to such fine tolerances that Rostov could detect no hint of them anywhere on the curved metal skin .",give anyone pause for thought,give someone pause for thought,"[give, someone, pause, for, thought]","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""pause""][lemma=""for""][lemma=""thought""]","q[lemma=""pause""][lemma=""for""][lemma=""thought""][lemma=""be""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[tag=""J.*""][lemma=""pause""][lemma=""for""][lemma=""thought""]","q[lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""pause""][lemma=""for""][tag=""J.*""][lemma=""thought""]","q[tag=""RB.?""][lemma=""give""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""pause""][lemma=""for""][lemma=""thought""]",,"q[lemma=""give"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""pause""][lemma=""for""][lemma=""thought""]",v4_olmo-mix-1124_llama,give someone pause for thought,97,False,508.21590423583984,"[2367,4856,19957,363,2714]","[""▁give"",""▁someone"",""▁pause"",""▁for"",""▁thought""]",,4575475702047,0.021199981448181145
440,"It is the vision of people looking up from the depths , de profundis , from the ' dark shadow of death ' and of despair , and seeing a new light : ' unlooked for , glittering and bright ; and the people of Middle - earth beheld it from afar and wondered , and they took it for a sign , and called it Gil - Estel , the Star of High Hope ' .","It is the vision of people looking up from the depths , de profundis , from the ' dark shadow of death ' and of despair , and understanding it in a new way: ' unlooked for , glittering and bright ; and the people of Middle - earth beheld it from afar and wondered , and they took it for a sign , and called it Gil - Estel , the Star of High Hope ' .",seeing a new light,see a new light,"[see, a, new, light]","q[lemma=""see""][lemma=""a""][lemma=""new""][lemma=""light""]","q[lemma=""a""][lemma=""new""][lemma=""light""][lemma=""be""][lemma=""see""]","q[lemma=""see""][lemma=""a""][lemma=""new""][tag=""J.*""][lemma=""light""]",,"q[tag=""RB.?""][lemma=""see""][lemma=""a""][lemma=""new""][lemma=""light""]","q[lemma=""see""][lemma=""a""][tag=""RB.?""][lemma=""new""][lemma=""light""]","q[lemma=""see"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""new""][lemma=""light""]",v4_olmo-mix-1124_llama,see a new light,4061,False,467.24557876586914,"[1074,263,716,3578]","[""▁see"",""▁a"",""▁new"",""▁light""]",,4575475702047,0.8875579861965323
441,"But , secondly , it seems to me plain as a pikestaff that the building society , in parting with its money , relied on the transfer .","But , secondly , it seems to me obvious that the building society , in parting with its money , relied on the transfer .",plain as a pikestaff,plain as a pikestaff,"[plain, as, a, pikestaff]","q[lemma=""plain""][lemma=""as""][lemma=""a""][lemma=""pikestaff""]",,"q[lemma=""plain""][lemma=""as""][lemma=""a""][tag=""J.*""][lemma=""pikestaff""]",,"q[tag=""RB.?""][lemma=""plain""][lemma=""as""][lemma=""a""][lemma=""pikestaff""]",,,v4_olmo-mix-1124_llama,plain as a pikestaff,11036,False,619.9145317077637,"[8656,408,263,282,638,342,3470]","[""▁plain"",""▁as"",""▁a"",""▁p"",""ik"",""est"",""aff""]",,4575475702047,2.4119896418775992
442,"IF they thought they were breaking new ground by having the Institute of Directors host a discussion on the lack of women in the boardroom , then Donald Hardie , its Scottish director , and Henry Fairweather , Scottish & Newcastle 's personnel director who put the idea forward , were right — in more ways than one .","IF they thought they were having some break through by having the Institute of Directors host a discussion on the lack of women in the boardroom , then Donald Hardie , its Scottish director , and Henry Fairweather , Scottish & Newcastle 's personnel director who put the idea forward , were right — in more ways than one .",breaking new ground,break new ground,"[break, new, ground]","q[lemma=""break""][lemma=""new""][lemma=""ground""]","q[lemma=""new""][lemma=""ground""][lemma=""be""][lemma=""break""]","q[lemma=""break""][lemma=""new""][tag=""J.*""][lemma=""ground""]",,"q[tag=""RB.?""][lemma=""break""][lemma=""new""][lemma=""ground""]","q[lemma=""break""][tag=""RB.?""][lemma=""new""][lemma=""ground""]","q[lemma=""break"" & tag=""N.*""][lemma=""of""][lemma=""new""][lemma=""ground""]",v4_olmo-mix-1124_llama,break new ground,324516,False,12.428045272827148,"[2867,716,5962]","[""▁break"",""▁new"",""▁ground""]",,4575475702047,70.92508432616445
443,"Once again , however , he discovered he had struck a chord with ordinary people , people who had felt they were unfit to pass judgement on modern buildings because they lacked the qualifications .","Once again , however , he discovered he had stirred emotions of ordinary people , people who had felt they were unfit to pass judgement on modern buildings because they lacked the qualifications .",struck a chord,strike a chord,"[strike, a, chord]","q[lemma=""strike""][lemma=""a""][lemma=""chord""]","q[lemma=""a""][lemma=""chord""][lemma=""be""][lemma=""strike""]","q[lemma=""strike""][lemma=""a""][tag=""J.*""][lemma=""chord""]",,"q[tag=""RB.?""][lemma=""strike""][lemma=""a""][lemma=""chord""]",,"q[lemma=""strike"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""chord""]",v4_olmo-mix-1124_llama,strike a chord,431857,False,677.8411865234375,"[21283,263,521,536]","[""▁strike"",""▁a"",""▁ch"",""ord""]",,4575475702047,94.38515864192954
444,Niall is on cloud nine,Niall is extremely happy,on cloud nine,on cloud nine,"[on, cloud, nine]","q[lemma=""on""][lemma=""cloud""][lemma=""nine""]",,"q[lemma=""on""][tag=""J.*""][lemma=""cloud""][lemma=""nine""]",,"q[tag=""RB.?""][lemma=""on""][lemma=""cloud""][lemma=""nine""]",,,v4_olmo-mix-1124_llama,on cloud nine,230960,False,692.9233074188232,"[373,9570,14183]","[""▁on"",""▁cloud"",""▁nine""]",,4575475702047,50.47781149764863
445,The instances of this happening are few and far between .,The instances of this happening are scarce .,few and far between,few and far between,"[few, and, far, between]","q[lemma=""few""][lemma=""and""][lemma=""far""][lemma=""between""]",,,,"q[tag=""RB.?""][lemma=""few""][lemma=""and""][lemma=""far""][lemma=""between""]",,,v4_olmo-mix-1124_llama,few and far between,3676340,False,776.8306732177734,"[2846,322,2215,1546]","[""▁few"",""▁and"",""▁far"",""▁between""]",,4575475702047,803.4880391464563
